time,latitude,longitude,chlor_a
2003-01-16 00:00:00+00:00,31.437498,-80.9375,4.1886973
2003-01-16 00:00:00+00:00,31.354164,-80.8125,2.8015494
2003-01-16 00:00:00+00:00,31.354164,-80.854164,3.0408025
2003-01-16 00:00:00+00:00,31.354164,-80.89583,3.3468776
2003-01-16 00:00:00+00:00,31.395832,-80.8125,2.5128717
2003-01-16 00:00:00+00:00,31.395832,-80.854164,2.8860207
2003-01-16 00:00:00+00:00,31.354164,-80.9375,3.7260978
2003-01-16 00:00:00+00:00,31.395832,-80.9375,4.3892264
2003-01-16 00:00:00+00:00,31.437498,-80.8125,2.2526832
2003-01-16 00:00:00+00:00,31.437498,-80.854164,2.715705
2003-01-16 00:00:00+00:00,31.437498,-80.89583,3.4325018
2003-01-16 00:00:00+00:00,31.395832,-80.89583,3.5255022
2003-02-16 00:00:00+00:00,31.395832,-80.8125,3.1551025
2003-02-16 00:00:00+00:00,31.354164,-80.8125,4.045182
2003-02-16 00:00:00+00:00,31.354164,-80.854164,4.5543194
2003-02-16 00:00:00+00:00,31.354164,-80.89583,4.540062
2003-02-16 00:00:00+00:00,31.395832,-80.854164,3.5801973
2003-02-16 00:00:00+00:00,31.354164,-80.9375,4.433864
2003-02-16 00:00:00+00:00,31.395832,-80.9375,4.6385446
2003-02-16 00:00:00+00:00,31.437498,-80.8125,3.1350126
2003-02-16 00:00:00+00:00,31.437498,-80.854164,3.596563
2003-02-16 00:00:00+00:00,31.437498,-80.89583,4.0744276
2003-02-16 00:00:00+00:00,31.437498,-80.9375,4.6764297
2003-02-16 00:00:00+00:00,31.395832,-80.89583,3.778709
2003-03-16 00:00:00+00:00,31.354164,-80.8125,2.1406717
2003-03-16 00:00:00+00:00,31.354164,-80.854164,2.8377867
2003-03-16 00:00:00+00:00,31.354164,-80.89583,3.470732
2003-03-16 00:00:00+00:00,31.354164,-80.9375,3.9516344
2003-03-16 00:00:00+00:00,31.395832,-80.8125,1.8829788
2003-03-16 00:00:00+00:00,31.395832,-80.854164,2.5351346
2003-03-16 00:00:00+00:00,31.395832,-80.89583,3.2895145
2003-03-16 00:00:00+00:00,31.437498,-80.8125,1.8989975
2003-03-16 00:00:00+00:00,31.437498,-80.854164,2.57271
2003-03-16 00:00:00+00:00,31.437498,-80.89583,3.4782786
2003-03-16 00:00:00+00:00,31.437498,-80.9375,4.1778946
2003-03-16 00:00:00+00:00,31.395832,-80.9375,3.8368611
2003-04-16 00:00:00+00:00,31.395832,-80.8125,3.740263
2003-04-16 00:00:00+00:00,31.354164,-80.8125,3.6575644
2003-04-16 00:00:00+00:00,31.354164,-80.854164,4.4282227
2003-04-16 00:00:00+00:00,31.354164,-80.89583,5.3157763
2003-04-16 00:00:00+00:00,31.354164,-80.9375,6.408752
2003-04-16 00:00:00+00:00,31.395832,-80.854164,4.6784425
2003-04-16 00:00:00+00:00,31.437498,-80.854164,4.8961444
2003-04-16 00:00:00+00:00,31.395832,-80.9375,6.842125
2003-04-16 00:00:00+00:00,31.437498,-80.8125,4.1006656
2003-04-16 00:00:00+00:00,31.395832,-80.89583,5.930264
2003-04-16 00:00:00+00:00,31.437498,-80.89583,6.448757
2003-04-16 00:00:00+00:00,31.437498,-80.9375,7.4150796
2003-05-16 00:00:00+00:00,31.354164,-80.8125,2.40896
2003-05-16 00:00:00+00:00,31.354164,-80.854164,2.4337864
2003-05-16 00:00:00+00:00,31.354164,-80.89583,3.5671566
2003-05-16 00:00:00+00:00,31.354164,-80.9375,4.778258
2003-05-16 00:00:00+00:00,31.395832,-80.8125,2.0189538
2003-05-16 00:00:00+00:00,31.395832,-80.854164,1.9987018
2003-05-16 00:00:00+00:00,31.395832,-80.9375,3.5069616
2003-05-16 00:00:00+00:00,31.437498,-80.8125,1.9035976
2003-05-16 00:00:00+00:00,31.437498,-80.854164,1.5875611
2003-05-16 00:00:00+00:00,31.437498,-80.89583,1.839827
2003-05-16 00:00:00+00:00,31.437498,-80.9375,2.6626503
2003-05-16 00:00:00+00:00,31.395832,-80.89583,2.3722372
2003-06-16 00:00:00+00:00,31.395832,-80.8125,1.2321472
2003-06-16 00:00:00+00:00,31.354164,-80.8125,1.2113938
2003-06-16 00:00:00+00:00,31.354164,-80.854164,1.2455097
2003-06-16 00:00:00+00:00,31.354164,-80.89583,1.3159653
2003-06-16 00:00:00+00:00,31.354164,-80.9375,1.4845893
2003-06-16 00:00:00+00:00,31.395832,-80.854164,1.2891784
